City,Street,Timestamp,Text
Winkl,Severinstraße 7,12:55:00,All calm in Winkl. Just feeding my Alpacas and chillin'.
Gablitz,Linzerstraße 3,12:15:00,All clear here. Kids are playing in the park.
Neulengbach,Rathausplatz 2,13:15:00,Calm and serene morning. People are enjoying their coffee in the sun.
Purkersdorf,Hardt-Stremayr-Gasse 5,12:05:00,Currently everything quiet. Birds are chirping peacefully.
Eichgraben,Hauptstraße 17,12:45:00,Eichgraben's as peaceful as ever. Not a zombie in sight.
Maierhöfen,Babenbergergasse 2,13:25:00,Everything is fine here. Feels like the silence before the storm.
Vienna,Maxingstraße 83,18:15:00,"Had to flee my home, but all seems quiet now. Apparently the horde moved on. "
Vienna,Stephansplatz 3,12:07:00,Hey! I'm at Stephansplatz and just saw a huge crowd of... zombies?! No kidding!
Vienna,Hietzinger Hauptstraße 22,14:04:00,Hietzinger Hauptstraße is a zombie hotspot right now. Do we have an apocalypse on our hands?
Unter-Oberndorf,Obere Hauptstraße 18,20:46:00,I have to report a large aggregation of zombies. My world is turning upside down. 
Purkersdorf,Rochusgasse 14,16:22:00,I think I just saw a whole bunch of Zombies in the cemetary. Am I going crazy?
Maria Anzbach,Rehgartenstraße 10,21:43:00,"I went to bed early, but was awoken by loud noises in the street. Tons of Zombies outside, I don't know what to do!"
Neulengbach,Bahnhofstraße 30 ,13:05:00,It's a normal day in Neulengbach. Everyone's going about their business.
Untertullnerbach,Badgasse 5,12:25:00,It's so quiet you could hear a pin drop. No signs of any zombies.
Neulengbach,Schulgasse 6 ,13:35:00,"Just checking in to say that it's a beautiful, calm day. "
Winkl,Severinstraße 7,19:54:00,Just saw a load of zombies in Winkl. I freed the alpacas. 
Vienna,Maxingstraße 83,14:34:00,Maxingstraße's gone full zombie mode. Hiding at home until this blows over.
Vienna,Mariahilfer Straße 12,12:53:00,"Museumquartier is a mess right now, full of zombies! This can't be real, can it?"
Hutten,Herrgottswinkelstraße 8,19:00:00,"My god, it seems like the complete population from Vienna has turned into zombies!"
Maria Anzbach,Rehgartenstraße 10,14:15:00,Nothing happening in Maria Anzbach. Very boring. I dont't know what to do. 
Maierhöfen,Babenbergergasse 2,21:15:00,"Okay, the storm has definitely arrived. Zombies detected in the dark. I am hiding in the basement. "
Winkl,Klosterstraße 1,20:21:00,OMG. I just saw the hugest bunch of Zombies shuffling through the neighbourhood. 
Pressbaum,Hauptstraße 38,23:02:00,"Pressbaum is no longer zombie capital, most of the zombies have traveled through by now. Some of my neighbours joined them. "
Purkersdorf,Hauptplatz 2,15:55:00,"Purkersdorf is a mess. There's a massive horde of zombies, it's scary! "
Neulengbach,Schulgasse 35,22:38:00,Schulgasse in Neulengbach has a zombie problem. Didn't see this coming.
Gablitz,Linzerstraße 3,16:47:00,"Seeing lots of zombies on Linzer Straße, Gablitz. Stay indoors, folks!"
Neulengbach,Sankt Pöltner Straße 69,23:29:00,"So many zombies outside, shuffling through the dark. Where could they be heading?"
Pressbaum,Hauptstraße 38,17:38:00,"So, Pressbaum is the new zombie capital? They're swarming Hauptstraße!"
Vienna,Spittelberggasse 20,13:15:00,"Something weird going on at Spittelberggasse. Looks like a zombie walk, lol!"
Vienna,Stephansplatz 3,16:05:00,"Stephansplatz has been cleared of the zombies, apparently they moved on. "
Vienna,Herrengasse 14,12:27:00,The whole Herrengasse is swarmed by what looks like zombies. Terrifying!
Pressbaum,Hauptstraße 25 ,12:35:00,Tranquility prevails. Just saw a couple jogging by.
Untertullnerbach,Hauptstraße 6,17:14:00,Untertullnerbach's got a zombie problem. Stay clear of Hauptstraße.
Vienna,Keißlergasse 1,15:28:00,"We are abandoning the Stadium, it is no longer safe. Massive zombie horde sighted. "
Eichgraben,Hauptstraße 17,19:27:00,Zombies are coming from the woods! We are history!
Neulengbach,Rathausplatz 2,22:10:00,"Zombies are overrunning Rathausplatz. What's next, aliens?"
Pressbaum,Kaiserkrone 1,18:03:00,"Zombies are swarming in from all directions. Even from the forest. Safe yourselves, avoid Pressbaum."
Pressbaum,Buchbergstraße 1a,18:33:00,"Zombies everywhere, I can't escape! This is a nightmare!"
Vienna,Westbahnstraße 42,13:31:00,Zombies on Westbahnstraße. Send help ASAP!
Vienna,Hackinger Straße 5,15:01:00,Zombies overran the OBI. Is this a bad joke or what?
