,Location,Inhabitants,Latitude,Longitude,Postalcodes
0,Wien,1626440.0,48.209,16.370,"1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,2333"
1,Graz,240278.0,47.072331331,15.439072712,"8010,8020,8036,8041,8042,8043,8044,8045,8046,8047,8051,8052,8053,8054,8055,8073,8074"
2,Linz,187112.0,48.3,14.2833333,"4020,4030,4040"
3,Salzburg,147571.0,47.7666667,13.05,"5020,5023,5026,5061,5071,5082,5101"
4,Innsbruck,115498.0,47.2666667,11.4,"6020,6063,6080"
5,Klagenfurt,91723.0,46.63,14.31,"9020,9061,9063,9073,9201"
6,Wels,58146.0,48.1,14.0,4600
7,Villach,57829.0,46.613169,13.845161,"9500,9523,9524,9580,9586,9587"
8,Sankt Pölten,50474.0,48.2,15.6166667,"3100,3104,3105,3107,3140,3151,3385"
9,Dornbirn,43601.0,47.4166667,9.7330556,6850
10,Wiener Neustadt,39324.0,47.816667,16.25,"2700,2751"
11,Steyr,39116.0,47.9,14.4666667,"4400,4407"
12,Feldkirch,29487.0,47.3666667,9.6666667,6800
13,Bregenz,27045.0,47.45,9.9166667,6900
14,Wolfsberg,25438.0,46.838806,14.845047,"9400,9411,9412,9413,9421,9431,9433,9441,9461,9462"
15,Leoben,25424.0,47.385326835,15.093912018,"8700,8792"
16,Baden,25075.0,48.0033,16.2311,2500
17,Klosterneuburg,24861.0,48.3050,16.3270,"1140,3400,3420,3421"
18,Traun,23943.0,48.2166667,14.2333333,"4050,4063"
19,Krems an der Donau,23734.0,48.410833,15.610278,"3500,3506,3511,3541"
20,Leonding,22893.0,48.2800,14.25,"4020,4060"
21,Amstetten,22829.0,48.0,14.7666667,"3300,3361,3362,3363"
22,Kapfenberg,21973.0,47.440026662,15.288872200,"8600,8605,8641"
23,Mödling,20609.0,48.0666667,16.25,2340
24,Lustenau,20484.0,47.4330556,9.65,6890
25,Hallein,18853.0,47.6,13.3,"5083,5400,5422"
26,Braunau am Inn,16322.0,48.257778,13.034111,"5280,5282"
27,Spittal an der Drau,16022.0,46.8,13.5,"9701,9702,9800"
28,Kufstein,15986.0,47.5,12.0333333,6330
29,Schwechat,15832.0,48.1333333,16.4666667,"1300,2320"
30,Traiskirchen,15808.0,48.0175,16.2950,"2512,2514"
31,Saalfelden am Steinernen Meer,15519.0,47.4166667,12.85,5760
32,Ansfelden,15300.0,48.2,14.2833333,"4052,4053"
33,Ternitz,15117.0,47.7166667,16.0333333,"2620,2630,2631,2632,2732,2733,2734"
34,Stockerau,14800.0,48.3860,16.2110,"2000,2003"
35,Hohenems,14414.0,47.3666667,9.6830556,6845
36,Feldkirchen in Kärnten,14294.0,46.723611,14.1,"9062,9560"
37,Perchtoldsdorf,14116.0,48.1166667,16.2666667,2380
38,Bad Ischl,14088.0,47.7166667,13.6166667,"4820,5351"
39,Tulln an der Donau,14070.0,48.3,16.0,"3425,3430"
40,Telfs,14047.0,47.3080,11.0710,"6100,6410"
41,Bludenz,14035.0,47.1,9.8666667,"6700,6751"
42,Bruck an der Mur,13393.0,47.421502396,15.270794144,8600
43,Gmunden,13336.0,47.92,13.80,4810
44,Sankt Veit an der Glan,13038.0,46.76715,14.358636,"9063,9300,9556"
45,Schwaz,12567.0,47.2666667,11.7666667,6130
46,Knittelfeld,12243.0,47.214890526,14.825785180,8720
47,Hall in Tirol,12062.0,47.2833333,11.5166667,6060
48,Eisenstadt,12061.0,47.8452778,16.5247223,7000
49,Lienz,12045.0,46.9,12.5,9900
50,Hard,11887.0,47.4830556,9.6830556,"6971,6972"
51,Neunkirchen,11833.0,47.65,16.0333333,2620
52,Waidhofen an der Ybbs,11824.0,47.9600,14.7740,"3263,3332,3333,3340"
53,Vöcklabruck,11728.0,47.9166667,13.55,"4840,4841,4850"
54,Korneuburg,11690.0,48.4166667,16.3,2100
55,Wörgl,11687.0,47.4833333,12.0666667,6300
56,Marchtrenk,11659.0,48.1833333,14.1166667,4614
57,Rankweil,11525.0,47.2830556,9.65,6830
58,Zwettl-Niederösterreich,11524.0,48.6,15.15,"3532,3533,3910,3911,3923,3924,3931,3932"
59,Ried im Innkreis,11498.0,48.2166667,13.5,"4910,4941"
60,Völkermarkt,11467.0,46.55,14.6666667,"9064,9100,9102,9103,9111,9113,9121,9371"
61,Wals-Siezenheim,11450.0,47.7986,12.9807,5071
62,Bad Vöslau,11064.0,47.9666667,16.2144,2540
63,Hollabrunn,11059.0,48.5600,16.0833333,"2014,2020,2031,2032"
64,Mistelbach,10907.0,48.5833333,16.5,"2130,2132,2192"
65,Enns,10888.0,48.2,14.4666667,4470
66,Sankt Andrä,10647.0,46.7661111,14.8236111,"9104,9112,9421,9422,9431,9433,9470"
67,Sankt Johann im Pongau,10566.0,47.35,13.2,"5600,5602"
68,Köflach,10391.0,47.064929311,15.084478243,"8572,8580,8582,8591"
69,Götzis,10277.0,47.3330556,9.6330556,"6840,6841"
70,Brunn am Gebirge,10204.0,48.1070,16.2833333,2345
71,Bischofshofen,10105.0,47.4166667,13.2166667,5500
72,Zell am See,9992.0,47.3166667,12.7833333,5700
73,Voitsberg,9943.0,47.049297566,15.149467381,"8152,8564,8570"
74,Judenburg,9674.0,47.168208496,14.662096754,"8750,8753"
75,Altmünster,9619.0,47.8570,13.7310,"4801,4810,4812,4813,4814"
